,acquisition_date,acquisitions
299,2000-09-12,46
300,1984-09-25,46
301,2011-06-04,46
302,1986-07-05,46
303,2007-07-29,46
304,1980-02-07,46
305,1970-12-02,46
306,2018-11-20,46
307,2018-09-19,46
308,1975-12-17,46
309,2001-08-20,46
310,2017-02-05,46
311,1993-06-05,46
312,2015-09-01,46
313,1980-01-03,46
314,2010-04-08,46
315,2005-09-21,46
316,1980-05-26,46
317,1988-07-13,46
318,2012-03-01,46
319,2008-02-18,46
320,2019-01-31,46
321,2012-03-13,46
322,2001-12-05,46
323,1993-03-05,46
324,2012-07-07,46
325,2014-07-18,46
326,2013-09-19,46
327,2001-06-12,46
328,1976-06-10,46
329,2017-09-01,46
330,1970-06-02,46
331,2015-03-01,46
332,1977-08-06,46
333,1994-10-09,46
334,2001-01-31,46
335,2000-09-11,46
336,1982-01-16,46
337,1982-11-16,46
338,1971-04-12,46
339,2015-06-23,46
340,1990-05-06,46
341,2015-01-20,45
342,2002-03-06,45
343,1980-11-12,45
344,1988-12-16,45
345,2014-04-20,45
346,2017-01-17,45
347,1981-12-03,45
348,2020-02-11,45
349,2017-10-17,45
350,2006-04-11,45
351,1973-05-25,45
352,1973-01-05,45
353,1985-06-19,45
354,2015-06-06,45
355,2002-12-03,45
356,1989-06-02,45
357,2006-09-18,45
358,2004-11-01,45
359,2017-07-07,45
360,2011-02-14,45
361,1984-01-28,45
362,2006-07-15,45
363,2009-11-21,45
364,1991-01-26,45
365,2006-11-23,45
366,1990-01-10,45
367,1988-07-25,45
368,1979-01-03,45
369,1987-04-26,45
370,2016-02-11,45
371,2000-03-26,45
372,1982-12-29,45
373,1987-06-17,45
374,1974-12-22,45
375,1978-01-23,45
376,1988-05-16,45
377,1982-12-04,45
378,1973-09-01,45
379,1976-09-03,45
380,1970-12-25,45
381,1996-04-07,45
382,1970-10-26,45
383,2014-03-11,45
384,1971-02-02,45
385,2003-01-17,45
386,2010-11-15,45
387,1975-11-24,45
388,1990-07-09,45
389,2009-08-03,45
390,1974-10-07,45
391,2010-12-01,45
392,2009-07-30,45
393,1989-08-06,45
394,2017-08-09,45
395,1990-02-05,45
396,2012-04-05,45
397,1998-06-06,45
398,1976-10-20,45
399,1970-09-23,45
400,1984-03-12,45
401,1994-01-22,45
402,1980-10-13,45
403,2009-08-11,45
404,1977-04-03,45
405,2002-03-20,45
406,2018-06-10,45
407,1981-09-13,45
408,1995-02-28,45
409,2005-05-17,45
410,1989-08-04,45
411,1986-08-05,45
412,2018-04-16,45
413,1977-04-28,45
414,1985-09-11,45
415,2014-07-09,45
416,1991-07-12,45
417,2019-07-30,45
418,2009-03-02,45
419,2018-08-19,45
420,2005-10-15,45
421,1973-04-17,45
422,2015-05-22,45
423,2005-11-17,45
424,1993-04-20,45
425,2002-10-29,45
426,2003-11-01,45
427,2014-02-15,45
428,1995-12-03,45
429,2004-07-06,45
430,1998-02-07,45
431,1993-12-05,45
432,2019-12-11,45
433,2013-03-21,45
434,1990-07-29,45
435,1973-10-09,45
436,1979-08-20,45
437,1992-03-28,45
438,2005-11-16,45
439,2012-02-01,45
440,1971-10-01,45
441,1992-01-13,45
442,2000-09-15,45
443,2017-05-22,45
444,2008-09-07,45
445,1971-09-24,45
446,1992-11-03,45
447,2006-04-19,45
448,2006-01-19,45
449,1999-11-09,45
450,1990-09-17,45
451,2003-01-04,45
452,1975-05-27,45
453,1973-10-27,45
454,1983-03-05,45
455,1977-08-20,45
456,1986-06-29,45
457,2017-06-13,45
458,2009-10-08,45
459,1986-02-07,45
460,1977-11-08,45
461,1998-06-01,45
462,1992-10-30,45
463,1981-08-02,45
464,1971-07-09,45
465,1996-12-17,45
466,2019-05-04,45
467,2014-07-25,45
468,1993-10-06,45
469,1981-07-29,45
470,2004-12-19,45
471,2013-10-13,45
472,1985-09-16,45
473,1997-08-13,45
474,1981-07-19,45
475,1985-12-02,45
476,2001-12-09,45
477,1993-04-12,45
478,1991-08-22,45
479,1978-10-28,45
480,2009-06-03,45
481,1975-09-29,45
482,2015-10-31,45
483,2001-10-01,45
484,1978-10-04,45
485,2011-09-28,45
486,1979-12-28,45
487,1997-08-18,45
488,1993-12-25,45
489,1975-10-12,45
490,2012-06-29,45
491,2016-03-29,45
492,2014-10-18,45
493,1981-12-08,45
494,2007-02-27,45
495,1979-10-08,45
496,1987-09-28,45
497,1994-12-15,44
498,1976-01-16,44
499,2000-02-22,44
500,1981-03-30,44
501,1984-11-09,44
502,1976-11-19,44
503,1997-05-20,44
504,1971-01-26,44
505,2004-09-30,44
506,1978-05-15,44
507,2001-09-22,44
508,1976-10-10,44
509,1970-04-08,44
510,1987-01-04,44
511,1987-02-13,44
512,1997-08-17,44
513,1973-09-07,44
514,1998-07-29,44
515,1983-07-29,44
516,2017-01-20,44
517,1978-05-21,44
518,1981-01-06,44
519,1994-10-02,44
520,2002-02-07,44
521,1991-08-25,44
522,2007-05-13,44
523,2014-10-02,44
524,1985-11-15,44
525,2001-11-21,44
526,2007-08-24,44
527,1988-04-10,44
528,1974-01-13,44
529,1973-12-19,44
530,1995-09-04,44
531,1977-10-10,44
532,1996-05-13,44
533,2002-11-27,44
534,2018-03-18,44
535,2007-05-02,44
536,2009-07-09,44
537,2015-10-11,44
538,1993-11-08,44
539,2008-08-27,44
540,2018-04-26,44
541,1972-12-10,44
542,2019-06-13,44
543,1970-03-27,44
544,1988-10-16,44
545,1972-05-20,44
546,2008-02-08,44
547,2007-04-18,44
548,2014-01-14,44
549,1978-02-11,44
550,1999-12-31,44
551,1985-01-25,44
552,2009-01-31,44
553,1997-06-14,44
554,1973-07-08,44
555,2020-04-02,44
556,1982-04-07,44
557,1987-11-04,44
558,2002-09-10,44
559,2014-11-09,44
560,2003-10-17,44
561,2012-03-31,44
562,1993-02-03,44
563,2013-02-03,44
564,1971-08-10,44
565,1976-02-13,44
566,1988-09-19,44
567,2005-10-25,44
568,1991-05-12,44
569,1991-12-20,44
570,2003-02-17,44
571,1998-03-25,44
572,2012-01-06,44
573,1978-09-04,44
574,2013-02-08,44
575,2015-01-08,44
576,2003-11-05,44
577,2003-11-11,44
578,2012-10-14,44
579,1976-10-14,44
580,2019-09-16,44
581,1997-04-02,44
582,2020-06-06,44
583,1973-09-26,44
584,1995-01-29,44
585,1995-04-04,44
586,1986-08-24,44
587,1998-06-07,44
588,1978-08-19,44
589,1984-03-16,44
590,2017-10-07,44
591,1970-09-02,44
592,2007-01-06,44
593,1984-11-18,44
594,2002-04-08,44
595,1987-02-25,44
596,2009-04-18,44
597,2006-05-30,44
598,1975-04-26,44
599,1982-07-30,44
600,1985-02-10,44
601,1973-10-22,44
602,1985-08-29,44
603,1985-06-15,44
604,1975-06-04,44
605,1999-04-10,44
606,2017-09-20,44
607,2004-10-24,44
608,1997-04-16,44
609,1978-04-25,44
610,2008-07-16,44
611,2012-12-18,44
612,1982-10-15,44
613,2012-06-03,44
614,1981-06-11,44
615,2011-10-26,44
616,1981-04-28,44
617,1985-11-24,44
618,2008-05-27,44
619,1979-12-12,44
620,1977-10-04,44
621,2001-12-31,44
622,1979-02-07,44
623,1998-11-19,44
624,1994-09-14,44
625,2019-11-20,44
626,1985-07-21,44
627,2019-11-09,44
628,2006-03-25,44
629,1995-08-25,44
630,1977-08-21,44
631,1996-02-19,44
632,1971-09-15,44
633,1978-05-18,44
634,1996-10-07,44
635,1998-01-29,44
636,1980-01-01,44
637,1971-07-30,44
638,2008-05-04,44
639,2010-02-03,44
640,2018-09-15,44
641,1993-03-08,44
642,2016-01-03,44
643,1999-10-15,44
644,2014-12-18,44
645,1989-12-28,44
646,1978-11-12,44
647,1971-08-21,44
648,1988-07-15,44
649,1978-04-17,44
650,1998-05-14,44
651,1992-07-07,44
652,2002-07-31,44
653,1971-02-21,44
654,1983-06-27,44
655,2020-02-06,44
656,1980-11-17,44
657,1978-12-23,44
658,1987-05-28,44
659,2003-11-28,44
660,2015-12-26,44
661,1987-11-16,44
662,2015-12-12,44
663,1998-06-27,44
664,2001-07-23,44
665,2010-05-11,44
666,1982-06-20,44
667,1980-08-26,44
668,2018-05-13,44
669,1995-05-26,44
670,1998-03-09,44
671,2015-01-12,44
672,1985-01-18,44
673,1979-10-20,44
674,2008-11-05,44
675,1992-04-16,44
676,1971-06-02,44
677,1975-11-26,44
678,2020-06-09,44
679,1994-08-31,44
680,1976-12-18,44
681,1970-08-28,44
682,1989-03-03,44
683,2013-09-04,44
684,1982-12-06,44
685,1987-09-07,44
686,2004-07-01,44
687,2003-07-24,44
688,2017-10-11,44
689,1976-04-12,44
690,2004-02-01,44
691,2007-01-22,44
692,2004-12-12,44
693,1986-01-01,44
694,1990-12-23,44
695,1987-02-08,44
696,1983-07-20,44
697,1970-02-27,44
698,1982-06-23,44
699,2012-11-10,44
700,2019-03-17,44
701,1972-05-25,44
702,1991-03-05,44
703,2003-12-29,43
704,1986-08-11,43
705,1996-05-05,43
706,2014-05-25,43
707,1993-12-04,43
708,1980-07-22,43
709,2015-06-13,43
710,2012-12-09,43
711,1995-01-21,43
712,2006-05-14,43
713,1999-03-01,43
714,1991-05-14,43
715,1982-02-07,43
716,1989-04-18,43
717,1995-06-03,43
718,1997-08-27,43
719,2020-01-21,43
720,1997-04-27,43
721,1980-05-25,43
722,1985-11-04,43
723,1972-04-25,43
724,1970-06-30,43
725,2012-09-15,43
726,2002-05-17,43
727,1988-07-17,43
728,1981-02-08,43
729,2009-09-16,43
730,2011-03-07,43
731,1999-04-17,43
732,1971-05-02,43
733,1992-06-04,43
734,1979-11-25,43
735,1980-11-13,43
736,1973-04-30,43
737,1990-09-28,43
738,1971-04-22,43
739,2018-04-13,43
740,2009-05-16,43
741,2015-05-06,43
742,2011-07-16,43
743,1990-09-25,43
744,2010-02-01,43
745,2005-01-23,43
746,2008-04-18,43
747,1976-11-28,43
748,2008-07-11,43
749,2000-05-17,43
750,2005-10-17,43
751,1998-09-16,43
752,1975-01-09,43
753,1998-03-05,43
754,2012-02-24,43
755,1975-09-22,43
756,2003-09-18,43
757,1994-03-21,43
758,1979-02-06,43
759,2004-09-17,43
760,2018-04-12,43
761,2013-07-22,43
762,2020-01-12,43
763,2016-02-26,43
764,1974-07-10,43
765,2019-02-01,43
766,1980-10-16,43
767,1992-03-16,43
768,1988-10-22,43
769,1972-01-17,43
770,2014-03-25,43
771,2017-01-12,43
772,2015-01-09,43
773,2019-01-06,43
774,1988-09-06,43
775,1985-09-14,43
776,2007-11-13,43
777,1973-12-16,43
778,1983-04-12,43
779,1978-07-20,43
780,1984-11-17,43
781,2009-02-10,43
782,1999-08-25,43
783,1978-02-19,43
784,1982-12-05,43
785,2018-04-28,43
786,2013-03-16,43
787,1971-10-06,43
788,1972-12-18,43
789,1981-09-23,43
790,2019-06-28,43
791,2003-01-26,43
792,2009-01-24,43
793,2002-11-16,43
794,2018-08-08,43
795,1994-03-14,43
796,2016-02-25,43
797,1977-08-22,43
798,1972-07-28,43
799,2001-04-13,43
800,2009-06-21,43
801,1984-02-09,43
802,1987-07-25,43
803,1972-04-08,43
804,1970-08-19,43
805,1979-12-13,43
806,1978-11-17,43
807,2005-11-14,43
808,2012-09-13,43
809,2003-01-13,43
810,1977-07-03,43
811,1983-05-10,43
812,2013-05-29,43
813,2010-10-15,43
814,1971-11-15,43
815,2003-02-16,43
816,2017-05-10,43
817,1987-05-19,43
818,2002-12-09,43
819,2017-08-15,43
820,2013-03-11,43
821,1996-06-12,43
822,1989-10-24,43
823,2016-07-08,43
824,1993-02-05,43
825,1984-09-07,43
826,2008-01-21,43
827,2013-10-29,43
828,1983-05-04,43
829,1983-01-02,43
830,2001-11-10,43
831,1993-11-23,43
832,2016-01-27,43
833,1986-01-14,43
834,1978-06-21,43
835,1989-11-10,43
836,2019-03-30,43
837,2012-01-20,43
838,1989-12-12,43
839,1995-07-22,43
840,2017-08-14,43
841,2007-07-17,43
842,2004-03-10,43
843,1991-12-09,43
844,1990-08-01,43
845,1976-01-19,43
846,1995-03-04,43
847,2009-07-01,43
848,2016-12-18,43
849,1993-11-16,43
850,1996-08-31,43
851,2014-12-25,43
852,1977-12-24,43
853,1991-04-11,43
854,1971-06-14,43
855,2001-09-03,43
856,2014-01-10,43
857,1993-11-05,43
858,1984-02-16,43
859,2015-04-24,43
860,1994-11-20,43
861,2013-01-19,43
862,2002-08-07,43
863,2007-05-30,43
864,2012-08-15,43
865,1984-02-02,43
866,1973-01-22,43
867,2011-11-16,43
868,1991-01-29,43
869,1983-06-23,43
870,1985-12-23,43
871,1983-09-03,43
872,1984-03-31,43
873,2018-02-17,43
874,2013-06-02,43
875,1976-07-16,43
876,1990-11-07,43
877,1994-06-06,43
878,1975-09-18,43
879,1973-06-21,43
880,2000-08-02,43
881,1983-09-09,43
882,2003-04-30,43
883,2019-05-16,43
884,1998-10-13,43
885,2000-10-19,43
886,2013-02-20,43
887,2010-05-10,43
888,2013-04-04,43
889,2016-09-27,43
890,1991-11-25,43
891,1992-10-19,43
892,2004-10-14,43
893,1983-02-24,43
894,2018-09-16,43
895,2001-10-25,43
896,2019-01-04,43
897,2014-06-07,43
898,1976-11-16,43
899,1990-12-03,43
900,1974-12-29,43
901,2000-07-18,43
902,2016-09-04,43
903,2005-12-19,43
904,1987-04-22,43
905,1985-08-17,43
906,1987-04-15,43
907,2000-06-17,43
908,1988-03-24,43
909,2019-08-09,43
910,1972-02-24,43
911,2000-03-25,43
912,2011-01-26,43
913,2007-03-18,43
914,2005-12-07,43
915,2020-05-02,43
916,1987-03-02,43
917,1971-09-29,43
918,1975-04-21,43
919,2000-04-26,43
920,1977-09-16,43
921,1980-06-02,43
922,2014-03-08,43
923,2005-10-19,43
924,2008-10-03,43
925,2001-08-29,43
926,1980-03-15,43
927,2014-01-26,43
928,1993-11-30,43
929,1994-05-30,43
930,2020-01-02,43
931,1992-12-01,43
932,2003-03-22,43
933,2008-05-01,43
934,1970-10-03,43
935,1997-12-02,43
936,1973-03-02,43
937,2019-02-07,43
938,2008-05-14,43
939,2018-07-02,43
940,1983-01-01,43
941,1971-04-25,43
942,2020-02-16,43
943,1992-08-31,43
944,1974-03-15,43
945,2015-08-09,43
946,1995-09-29,43
947,1971-09-30,43
948,1999-11-25,43
949,1980-11-30,43
950,1988-09-30,43
951,1977-01-22,43
952,1990-01-14,43
953,2004-01-06,43
954,2004-06-28,43
955,2013-11-25,43
956,2013-01-24,43
957,1984-04-11,43
958,2000-08-30,43
959,1972-04-06,43
960,2013-01-14,43
961,1986-07-09,43
962,1989-07-05,43
963,1995-07-06,43
964,2007-10-29,43
965,1991-12-10,43
966,2005-09-03,43
967,2009-03-01,43
968,1977-08-15,43
969,2009-09-17,43
970,1974-12-20,43
971,2013-05-10,43
972,1977-07-06,43
973,2017-05-31,43
974,1974-05-23,42
975,2006-11-16,42
976,1976-02-22,42
977,1974-06-18,42
978,1979-11-16,42
979,1988-10-20,42
980,2018-04-09,42
981,1975-03-25,42
982,1982-09-30,42
983,1984-10-11,42
984,2000-05-11,42
985,2012-01-03,42
986,1977-01-12,42
987,1972-02-10,42
988,2015-05-20,42
989,1979-12-11,42
990,2017-12-12,42
991,1989-04-06,42
992,1993-02-27,42
993,1983-11-14,42
994,2004-08-19,42
995,2018-07-26,42
996,2018-09-22,42
997,2017-10-21,42
998,2000-03-19,42
999,2001-08-02,42
1000,1993-05-02,42
1001,1988-10-06,42
1002,2005-02-01,42
1003,1987-11-02,42
1004,2010-09-07,42
1005,1975-05-09,42
1006,1982-06-18,42
1007,2010-03-17,42
1008,2000-09-26,42
1009,1974-02-17,42
1010,2017-07-30,42
1011,1993-05-29,42
1012,1995-10-16,42
1013,1991-11-05,42
1014,1993-09-14,42
1015,2001-02-08,42
1016,1995-12-25,42
1017,2001-06-26,42
1018,1991-03-29,42
1019,1998-05-16,42
1020,1986-01-30,42
1021,1990-08-21,42
1022,2011-09-14,42
1023,1992-07-29,42
1024,1972-11-16,42
1025,1984-10-09,42
1026,1971-05-24,42
1027,1980-07-21,42
1028,1981-05-21,42
1029,1991-02-23,42
1030,2001-02-10,42
1031,2001-04-15,42
1032,2006-05-22,42
1033,1995-03-07,42
1034,2012-12-10,42
1035,1985-06-23,42
1036,1974-06-03,42
1037,1978-09-25,42
1038,1988-01-10,42
1039,1974-01-06,42
1040,2002-05-23,42
1041,1978-11-11,42
1042,1981-07-27,42
1043,1978-09-19,42
1044,2004-10-29,42
1045,1971-10-10,42
1046,2011-07-17,42
1047,1972-08-16,42
1048,2009-02-28,42
1049,1995-12-19,42
1050,2009-03-28,42
1051,1999-03-22,42
1052,2014-12-06,42
1053,1973-09-23,42
1054,2000-06-18,42
1055,1978-01-16,42
1056,2001-05-10,42
1057,1983-11-07,42
1058,1970-05-10,42
1059,1977-05-28,42
1060,2006-05-18,42
1061,1972-04-18,42
1062,1978-04-26,42
1063,2011-12-14,42
1064,1973-12-02,42
1065,1985-04-13,42
1066,1973-12-20,42
1067,2018-12-11,42
1068,1974-04-24,42
1069,1989-06-05,42
1070,1993-07-21,42
1071,2016-03-27,42
1072,1973-03-06,42
1073,1980-01-09,42
1074,1997-08-03,42
1075,2011-01-05,42
1076,1977-01-18,42
1077,1999-03-31,42
1078,2005-04-13,42
1079,2005-07-15,42
1080,2007-12-09,42
1081,2009-08-06,42
1082,2008-10-22,42
1083,2011-05-10,42
1084,2009-10-26,42
1085,1987-03-16,42
1086,1994-11-09,42
1087,1972-09-02,42
1088,1992-08-15,42
1089,1983-08-26,42
1090,1970-10-29,42
1091,1999-01-19,42
1092,1983-02-23,42
1093,1993-09-15,42
1094,1989-01-24,42
1095,1983-11-01,42
1096,1972-11-22,42
1097,1991-02-19,42
1098,1985-04-08,42
1099,1989-09-11,42
1100,2010-11-08,42
1101,2014-03-14,42
1102,1995-03-15,42
1103,1978-09-09,42
1104,2011-01-16,42
1105,1998-09-03,42
1106,1979-09-03,42
1107,1976-06-20,42
1108,2011-04-24,42
1109,2010-05-23,42
1110,2015-09-08,42
1111,1985-01-20,42
1112,2010-10-31,42
1113,2016-08-31,42
1114,1999-07-09,42
1115,1976-02-01,42
1116,1992-11-14,42
1117,1986-03-23,42
1118,1979-12-25,42
1119,2016-07-12,42
1120,2007-03-19,42
1121,1985-01-08,42
1122,1977-03-24,42
1123,1973-12-14,42
1124,1975-07-03,42
1125,1971-11-24,42
1126,2020-05-26,42
1127,1970-03-11,42
1128,1971-10-28,42
1129,1979-05-10,42
1130,1989-11-26,42
1131,1992-05-18,42
1132,2018-10-09,42
1133,1986-03-03,42
1134,2013-05-26,42
1135,1983-08-18,42
1136,1992-01-19,42
1137,1979-12-19,42
1138,1974-06-21,42
1139,1994-07-21,42
1140,1997-08-20,42
1141,1997-05-11,42
1142,2004-01-18,42
1143,2019-11-17,42
1144,1991-08-26,42
1145,2008-03-19,42
1146,1980-05-27,42
1147,1996-12-22,42
1148,2017-11-11,42
1149,1994-11-02,42
1150,1978-08-07,42
1151,2014-05-12,42
1152,2011-09-26,42
1153,2014-11-21,42
1154,1976-08-10,42
1155,2020-01-20,42
1156,1975-07-22,42
1157,1974-08-23,42
1158,1987-08-23,42
1159,2003-03-08,42
1160,2018-11-18,42
1161,1985-02-20,42
1162,1978-12-15,42
1163,2009-02-17,42
1164,2011-06-16,42
1165,2002-11-20,42
1166,1980-11-11,42
1167,2000-09-08,42
1168,1992-07-06,42
1169,1995-11-26,42
1170,2007-07-19,42
1171,2003-12-27,42
1172,2012-10-06,42
1173,2014-11-27,42
1174,2006-04-06,42
1175,1992-04-30,42
1176,1976-09-26,42
1177,1988-05-21,42
1178,2018-11-26,42
1179,1997-02-05,42
1180,2005-03-06,42
1181,2008-09-20,42
1182,1990-03-12,42
1183,1994-08-29,42
1184,1993-05-09,42
1185,1991-06-23,42
1186,1991-01-25,42
1187,1979-12-31,42
1188,1980-01-29,42
1189,2003-09-30,42
1190,2005-12-22,42
1191,2004-02-19,42
1192,2019-09-01,42
1193,1978-08-28,42
1194,2004-09-16,42
1195,2005-07-06,42
1196,1981-09-01,42
1197,1988-04-13,42
1198,1980-08-14,42
1199,1997-11-22,42
1200,1999-10-05,42
1201,2004-11-09,42
1202,1994-04-18,42
1203,1988-07-31,42
1204,1975-12-14,42
1205,2001-04-05,42
1206,1993-08-17,42
1207,1993-10-12,42
1208,1991-09-19,42
1209,2015-11-19,42
1210,2009-02-07,42
1211,1977-12-17,42
1212,2014-03-31,42
1213,1998-12-27,42
1214,2018-03-07,42
1215,1986-11-09,42
1216,1983-03-13,42
1217,1986-05-31,42
1218,2006-03-21,42
1219,1980-12-02,42
1220,1980-11-25,42
1221,1999-09-02,42
1222,1982-05-02,42
1223,2012-05-18,42
1224,1997-04-09,42
1225,1994-01-21,42
1226,2014-09-04,42
1227,2007-06-08,42
1228,2002-11-15,42
1229,2012-10-03,42
1230,1973-02-06,42
1231,1970-09-16,42
1232,1997-03-23,42
1233,2014-05-21,42
1234,2011-06-12,42
1235,1986-07-31,42
1236,2004-11-25,42
1237,2017-09-19,42
1238,1993-06-03,42
1239,1986-04-18,42
1240,2008-03-24,42
1241,1972-07-20,42
1242,2013-10-16,42
1243,2000-03-29,42
1244,2015-08-19,42
1245,2014-11-15,42
1246,2014-04-25,42
